Year,Country,Region,Crop_Type,Average_Temperature_C,Total_Precipitation_mm,CO2_Emissions_MT,Crop_Yield_MT_per_HA,Extreme_Weather_Events,Irrigation_Access_%,Pesticide_Use_KG_per_HA,Fertilizer_Use_KG_per_HA,Soil_Health_Index,Adaptation_Strategies,Economic_Impact_Million_USD
2001,India,West Bengal,Corn,1.55,447.06,15.22,1.737,8,14.54,10.08,14.78,83.25,Water Management,808.13
1998,India,Tamil Nadu,Sugarcane,2.19,1627.48,11.81,1.08,9,95.75,44.35,88.08,49.61,Crop Rotation,401.72
2012,India,Punjab,Wheat,32.08,1233.1,6.1,2.99,1,45.87,10.09,32.54,42.31,Water Management,761.89
2016,India,West Bengal,Soybeans,14,1240.49,29.18,4.032,9,29.32,37.8,99.09,46.32,No Adaptation,1745.39
2007,India,West Bengal,Vegetables,27.45,784.04,5.55,2.6,6,89.47,28.15,86.71,33.12,Water Management,308.77
2016,India,Maharashtra,Cotton,-2.28,2300.89,15.29,1.944,7,28.39,1.51,83.17,63.31,Organic Farming,725.01
2013,India,Punjab,Cotton,9.95,1210.23,1.43,2.88,4,45.61,30.89,34.09,69.29,Crop Rotation,686.14
1998,India,Punjab,Sugarcane,16.81,689.7,8.01,3.22,10,40.5,29.23,5.94,97.76,No Adaptation,1036.85
2002,India,Punjab,Corn,9.97,2310.19,23.27,1.053,2,19.87,37.64,5.83,97.48,Water Management,285.96
1998,India,Punjab,Soybeans,12.14,1507.9,1.55,4.79,0,97.69,8.28,56.73,89.16,Organic Farming,1163.98
2020,India,West Bengal,Sugarcane,18.74,309.92,20.51,3.042,9,76.58,48.2,73.87,55.53,No Adaptation,1228.61
1992,India,Tamil Nadu,Cotton,-0.23,1083.84,21.12,2.673,9,81.21,23.53,13,42.85,No Adaptation,652.9
2007,India,Tamil Nadu,Vegetables,26.58,1780.37,5.03,2.69,2,52.49,17.98,15.77,73,Water Management,289.11
1997,India,West Bengal,Rice,22.27,2731.72,23.5,1.485,6,22.85,0.2,33.03,77.25,Organic Farming,668.63
2023,India,Maharashtra,Barley,22.84,1773.19,9.19,1.27,4,52.43,25.92,10.16,86.92,Water Management,518.85
1995,India,Punjab,Soybeans,20.86,1283.71,24.56,1.224,8,82.82,10,29.4,46,Organic Farming,479.45
2015,India,Punjab,Cotton,8.81,205.46,12.69,0.657,5,97.49,45.83,91,36.18,Crop Rotation,269.11
2017,India,Tamil Nadu,Rice,25.13,917.26,16.93,1.566,0,76.86,41.65,5.9,33.24,Crop Rotation,354.12
2023,India,Punjab,Barley,29.49,935.71,20.08,2.655,3,24.55,0.67,72.4,98.17,Drought-resistant Crops,1185.57
1991,India,Maharashtra,Wheat,10.87,333.73,23.89,1.872,0,81.17,43.3,72.31,91.02,No Adaptation,847.03
2004,India,Punjab,Vegetables,25.96,1160.56,16.49,3.321,3,36.44,39.72,99.88,77.14,Drought-resistant Crops,1499.9
2010,India,Tamil Nadu,Wheat,21.77,210.3,9.99,0.801,9,19.24,25.13,71.99,51.83,Water Management,100.84
2019,India,West Bengal,Fruits,-2.7,2741.68,7.91,1.74,10,35.05,45.26,42.16,93.52,Organic Farming,305.28
1992,India,West Bengal,Wheat,4,2553.17,3.48,2.29,10,67.29,47.98,25.83,62.31,Water Management,833.4
2007,India,West Bengal,Rice,1.41,1433.18,19.37,1.782,5,79.11,14.82,89.32,59.11,Organic Farming,236.32
1995,India,West Bengal,Cotton,16.39,1428.32,24.65,2.385,6,98.06,26.21,97.73,59.59,Water Management,689.41
1996,India,Tamil Nadu,Wheat,19.32,1896.87,4.49,4.77,9,89.2,24.85,43.11,69.6,No Adaptation,716.72
2009,India,West Bengal,Cotton,19.21,1773.68,28.44,3.375,2,75.15,38.67,91.81,36.04,Organic Farming,1121.3
1992,India,Punjab,Cotton,17.32,2277.07,18.06,1.818,3,77.61,13.12,78.69,31.88,Crop Rotation,224.71
2007,India,Tamil Nadu,Coffee,3.88,2415.63,7.79,2.28,9,93.68,17.59,78,93.68,Crop Rotation,250.66
1995,India,Maharashtra,Vegetables,3.46,1522.13,24.66,0.774,2,73.73,20.32,29.33,59.36,Drought-resistant Crops,312.84
2006,India,Punjab,Fruits,17.08,605.97,27.94,4.401,8,92.18,6.59,17,89.03,Crop Rotation,1561.84
1991,India,Punjab,Soybeans,8.42,522.7,28.8,0.531,10,70.42,38.56,98.3,54.64,Water Management,111.06
2022,India,Maharashtra,Cotton,0.14,1832.14,17.07,0.792,5,95.47,23.58,46.79,67.01,Organic Farming,180.11
2013,India,Punjab,Fruits,0.2,2427.19,24.1,2.43,7,66.3,25.33,4.36,65.08,Drought-resistant Crops,977.58
2013,India,Punjab,Cotton,15.58,2690.21,24.61,2.844,1,31.09,44.17,51.15,95.52,Crop Rotation,943.84
2010,India,West Bengal,Rice,20.11,1085.87,20.34,1.116,2,26.81,27.92,44.23,76.48,Crop Rotation,236.3
2012,India,Tamil Nadu,Corn,30.9,2100.38,18.18,1.404,2,24.05,11.57,46.22,36.56,Water Management,682.51
1995,India,Tamil Nadu,Rice,22.36,1564.4,28.18,1.458,0,41.16,22.85,82.62,45.38,Crop Rotation,183.47
2002,India,Punjab,Wheat,-4.81,1915.14,28.29,0.747,5,44.2,45.71,27.97,75.12,Drought-resistant Crops,294.46
2006,India,West Bengal,Vegetables,-2.44,2621.81,8.02,0.88,2,83.44,3.22,27.25,88.54,Water Management,175.61
1996,India,Punjab,Wheat,2.63,2385.17,12.17,2.79,0,59.1,21,49.47,93.67,No Adaptation,491.78
1995,India,West Bengal,Cotton,27.09,426.95,6.35,2.232,1,25.72,21.66,40.28,62.58,No Adaptation,580.73
1997,India,Tamil Nadu,Vegetables,31.14,683.74,10.47,2.34,9,55.93,18.21,21.22,66.37,No Adaptation,987.69
2004,India,Maharashtra,Corn,14.23,1162.73,23.86,1.998,5,95.8,18.93,50.44,54.24,Crop Rotation,612.8
2008,India,Punjab,Cotton,-2.7,656.92,10.02,1.28,5,81.7,30.46,11.56,46.53,Organic Farming,439.88
1990,India,West Bengal,Corn,5.99,316.05,15.71,0.477,9,26.04,4.37,50.81,89.27,Drought-resistant Crops,113.13
1996,India,Punjab,Wheat,25.09,1660.3,7.36,2.61,0,29.66,14.36,93.3,84.26,Crop Rotation,389.19
1995,India,Punjab,Vegetables,-1.94,2723.03,4.38,1.89,0,35.1,40.73,38.86,64.8,Crop Rotation,347.14
2016,India,Tamil Nadu,Sugarcane,18.88,1640.89,7.15,2.82,2,27.54,25.22,98.39,54.9,Water Management,862.5
2024,India,Maharashtra,Vegetables,27.37,674.2,27.44,1.242,1,44.8,45.99,13.61,91.13,No Adaptation,344.39
2015,India,Punjab,Cotton,27.63,710.63,12.41,1.64,2,30.73,44.94,16.23,46.35,Crop Rotation,201.45
2013,India,Maharashtra,Rice,5.72,754.81,17.55,0.846,8,87.27,32.72,70,36.54,Drought-resistant Crops,305.52
2009,India,West Bengal,Sugarcane,33.14,1537.49,3.82,2.11,0,50.19,36.79,11.6,59.46,Crop Rotation,234.33
2006,India,Tamil Nadu,Corn,13.31,2587.97,29.02,3.6,4,88.21,10.52,14.86,92.31,Water Management,1447.01
2018,India,Maharashtra,Wheat,16.3,1650.58,9.34,2.04,8,27.73,21.9,7.36,51.96,Crop Rotation,615.06
2017,India,Tamil Nadu,Sugarcane,13.98,2979.46,25.02,4.203,7,84.27,5.39,92.35,52.04,Drought-resistant Crops,1048.93
2017,India,Tamil Nadu,Coffee,22.82,2787.83,26.32,2.007,5,62.73,46.3,23.67,39.59,Organic Farming,699.14
1993,India,Punjab,Barley,-1.8,2358.94,28.05,0.639,1,66.39,0.16,20.21,44.05,Crop Rotation,169.57
2016,India,Tamil Nadu,Fruits,8.71,1845.35,13.26,2.8,1,22.68,45.76,35.35,65.37,Crop Rotation,1190.86
2021,India,Punjab,Soybeans,31.17,1341.76,19.72,1.692,5,41.11,5.79,46.03,58.02,No Adaptation,433.78
1999,India,Punjab,Soybeans,10.42,2145.62,26.85,2.619,0,77.69,34.25,26.53,89,No Adaptation,1086.44
2000,India,West Bengal,Fruits,12.97,1252.34,27.37,2.115,3,34.21,2.75,83.94,77.15,Organic Farming,548.09
2018,India,Maharashtra,Corn,3.23,2842.93,29.73,1.764,2,69.37,37.1,56.21,74.7,Crop Rotation,819.96
2006,India,Tamil Nadu,Soybeans,11.03,2889.34,17.14,3.078,4,85.63,49.48,32.42,90.95,Crop Rotation,481.65
2022,India,West Bengal,Corn,17,2750.17,22.17,4.077,3,32.99,23.87,99.29,81.93,Drought-resistant Crops,1814.34
2005,India,Maharashtra,Vegetables,11.82,2342.66,1.25,3.71,3,76.99,14.38,36.55,59.6,Drought-resistant Crops,1471.92
2017,India,West Bengal,Soybeans,12.8,499.46,8.71,3.78,7,50.27,22.1,95.71,74.17,Organic Farming,1416.33
2016,India,West Bengal,Soybeans,-0.36,1822.89,9.58,1.17,1,33.13,29.29,41.79,97.43,Crop Rotation,362.63
2004,India,Tamil Nadu,Rice,0.54,2879.81,11.18,2.58,9,84.78,3.67,12.69,40.07,No Adaptation,978.31
2022,India,Punjab,Corn,13.67,407.37,26.85,1.98,4,97.35,44.9,38.66,93.27,Water Management,656.29
2010,India,Maharashtra,Fruits,9.85,1763.15,15.63,1.44,9,93.84,18.57,33.86,57.78,Water Management,717.87
2003,India,West Bengal,Corn,9.66,2906.87,12.97,0.79,4,28.07,16.33,89.63,56.11,Drought-resistant Crops,238.2
2019,India,Maharashtra,Coffee,-2.58,2624.78,19.49,1.53,0,84.46,29.82,98.43,34.13,No Adaptation,604.36
2011,India,Maharashtra,Fruits,29.38,1633.33,10.77,2.17,9,87.76,27.63,41.95,50.01,Crop Rotation,1067.65
1993,India,West Bengal,Cotton,31.75,704.58,0.7,3.71,9,42.9,14.93,93.03,74.17,Crop Rotation,835.43
1993,India,Tamil Nadu,Vegetables,29.47,1893.75,10.3,2.43,0,49.14,5.54,12.88,55.63,Crop Rotation,384.61
2004,India,Tamil Nadu,Barley,15.72,2215.74,17.1,4.482,2,93.62,3.82,5.3,73.16,Organic Farming,1948.16
1992,India,Tamil Nadu,Vegetables,31.34,1216.44,14.59,3.7,7,23.54,44.25,98.45,49.87,Crop Rotation,1826.09
2009,India,Maharashtra,Wheat,30.92,1766.16,17.82,2.628,6,71.49,16.98,83.03,82.96,Crop Rotation,519.88
2009,India,Tamil Nadu,Fruits,4.16,396.62,16.92,2.601,0,51.04,1.2,2.83,31.35,Organic Farming,882.58
2011,India,Punjab,Fruits,-2.07,2773.57,24.5,0.81,3,16.39,25.62,68.25,39.93,Organic Farming,363.25
2017,India,Punjab,Wheat,32.71,1706.38,29.98,1.062,0,91.63,11.04,50.08,44.08,Organic Farming,405.8
2007,India,Punjab,Wheat,12.19,2175.35,25.65,3.339,7,78.06,33.02,53.58,58.35,No Adaptation,1050.54
1991,India,West Bengal,Corn,18.53,311.6,13.7,2.97,5,27.79,6.68,10.54,48.81,No Adaptation,876.13
2022,India,Punjab,Sugarcane,-0.35,2252.28,12.98,1.67,4,83.59,20.56,49.85,51.74,Organic Farming,777.35
1997,India,West Bengal,Rice,32.79,2368.23,6.74,2.13,2,98.77,45.56,64.49,91.89,No Adaptation,607.33
2006,India,West Bengal,Soybeans,11.63,2479.32,20.77,1.395,9,39.23,33.87,64.9,53.95,Water Management,513.4
1997,India,Tamil Nadu,Barley,-4.87,1793.98,15.81,2.448,0,39.28,10.33,16.25,95.89,Organic Farming,935.27
2008,India,Maharashtra,Wheat,16.73,1636.31,25.57,1.521,10,79.84,40.64,3.81,66.51,Crop Rotation,530.11
2012,India,West Bengal,Barley,34.77,1902.23,5.3,2.98,1,93.9,19.87,94.08,44.96,Drought-resistant Crops,777.28
2021,India,Maharashtra,Cotton,18.45,2368.61,9.82,1.92,1,63.18,10.2,19.74,64.4,Crop Rotation,364.87
2014,India,Punjab,Cotton,34.36,2943.43,3.56,2.88,1,63.29,32.88,81.24,35.83,Drought-resistant Crops,1414.75
1992,India,Tamil Nadu,Barley,34.69,1613.03,8.39,1.47,7,39.88,8.24,89.27,91.17,Drought-resistant Crops,575.23
1992,India,Tamil Nadu,Cotton,30.82,503.05,23.24,2.574,4,29.69,6.61,54.41,84.86,Drought-resistant Crops,306.95
2009,India,Punjab,Wheat,29.22,2312.05,24.52,3.276,7,31.39,44.65,8.99,56.49,Drought-resistant Crops,1295.26
2009,India,Punjab,Vegetables,31.22,228.24,6.03,2.628,5,94.77,12.78,1.04,78.11,Crop Rotation,879.72
2022,India,Punjab,Soybeans,7.88,2332.34,22.93,1.35,3,78.32,40.57,88.54,98.75,Crop Rotation,636.78
1999,India,West Bengal,Sugarcane,11.28,2443.86,21.82,1.746,10,40.14,0.63,24.06,33.59,Organic Farming,607.71
2009,India,Punjab,Barley,12.11,796.18,26.5,3.636,6,20.2,16.13,11.57,80.24,Organic Farming,1093.59
2005,India,Tamil Nadu,Vegetables,22.22,1142.4,11.93,3.08,3,78.47,4.99,51.16,45.04,Drought-resistant Crops,1491.69
2001,India,Maharashtra,Corn,5.12,740.07,23.74,1.485,6,89.81,5.51,84.65,88.11,Organic Farming,444.01
